Regulator,Target,RegulatorEnsembleID,TargetEnsembleID,diseaseCategory,DiseaseName2,RegulationDiretion,ExpressionPattern,RegulatorType,TargetType,Target_cleaned,Regulator_cleaned,Regulator_cleaned2,Target_cleaned2
NORAD,miR-26a-5p,ENSG00000260032,,Musculoskeletal system disease,Ischemic bone disease,negatively-E,downregulation,lncRNA,miRNA,miR-26a-5p,NORAD,NORAD,miR-26a-5p
NEAT1,SMO,ENSG00000245532,ENSG00000128602,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,SMO,NEAT1,NEAT1,SMO
NEAT1,BZW1,ENSG00000245532,ENSG00000082153,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,BZW1,NEAT1,NEAT1,BZW1
PVT1,FOXO3,ENSG00000249859,ENSG00000118689,Reproductive system disease,Ovarian disease,positively-E,downregulation,lncRNA,TF,FOXO3,PVT1,PVT1,FOXO3
THCYTX,miR-590-5p,,ENSG00000207741,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,miRNA,miR-590-5p,THCYTX,THCYTX,miR-590-5p
HCP5,MAPK1,ENSG00000206337,ENSG00000100030,Cancer,Kidney cancer,positively-E,upregulation,lncRNA,PCG,MAPK1,HCP5,HCP5,MAPK1
MIR205HG,SOX4,ENSG00000230937,ENSG00000124766,Cancer,Esophageal cancer,positively-E,upregulation,lncRNA,TF,SOX4,MIR205HG,MIR205HG,SOX4
CASC9,miR-424-5p,ENSG00000249395,ENSG00000284231,Cancer,Liver cancer,negatively-E,upregulation,lncRNA,miRNA,miR-424-5p,CASC9,CASC9,miR-424-5p
XIST,CCND1,ENSG00000229807,ENSG00000110092,Cancer,Esophageal cancer,positively-E,upregulation,lncRNA,PCG,CCND1,XIST,XIST,CCND1
XIST,miR-129-5p,ENSG00000229807,,Cancer,Esophageal cancer,negatively-E,upregulation,lncRNA,miRNA,miR-129-5p,XIST,XIST,miR-129-5p
LINC-ROR,LMNB2,ENSG00000258609,ENSG00000176619,Cancer,Esophageal cancer,positively-E,upregulation,lncRNA,PCG,LMNB2,LINC-ROR,LINC-ROR,LMNB2
ZFPM2-AS1,TRIM24,ENSG00000251003,ENSG00000122779,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,TRIM24,ZFPM2-AS1,ZFPM2-AS1,TRIM24
DANCR,EZH2,ENSG00000226950,ENSG00000106462,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,EZH2,DANCR,DANCR,EZH2
MAPKAPK5-AS1,YWHAH,ENSG00000234608,ENSG00000128245,Cancer,Thyroid cancer,negatively-E,upregulation,lncRNA,PCG,YWHAH,MAPKAPK5-AS1,MAPKAPK5-AS1,YWHAH
LINC00485,MYC,ENSG00000258169,ENSG00000136997,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,MYC,LINC00485,LINC00485,MYC
GAS5,MIR137,ENSG00000234741,ENSG00000284202,Musculoskeletal system disease,Arthritis,negatively-E,upregulation,lncRNA,miRNA,MIR137,GAS5,GAS5,MIR137
ROR1-AS1,MIR4686,ENSG00000223949,ENSG00000265258,Cancer,Brain glioma,negatively-E,upregulation,lncRNA,miRNA,MIR4686,ROR1-AS1,ROR1-AS1,MIR4686
SUMO1P3,WNT1,ENSG00000235082,ENSG00000125084,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,WNT1,SUMO1P3,SUMO1P3,WNT1
SUMO1P3,CTNNB1,ENSG00000235082,ENSG00000168036,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,CTNNB1,SUMO1P3,SUMO1P3,CTNNB1
MEG3,HMGB1,ENSG00000214548,ENSG00000189403,Other,Injury,positively-E,upregulation,lncRNA,TF,HMGB1,MEG3,MEG3,HMGB1
LINC01535,BMP2,ENSG00000226686,ENSG00000125845,Musculoskeletal system disease,Bone disease,positively-E,upregulation,lncRNA,PCG,BMP2,LINC01535,LINC01535,BMP2
TUG1,miR-29a,ENSG00000253352,ENSG00000284032,Cancer,Cholangiocarcinoma,negatively-E,upregulation,lncRNA,miRNA,miR-29a,TUG1,TUG1,miR-29a
GATA6-AS,MIR205,,ENSG00000284485,Cancer,Cervical cancer,negatively-E,downregulation,lncRNA,miRNA,MIR205,GATA6-AS,GATA6-AS,MIR205
LL22NC03-N64E9.1,EZH2,ENSG00000271127,ENSG00000106462,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,EZH2,LL22NC03-N64E9.1,LL22NC03-N64E9.1,EZH2
SNHG3,TRPC3,ENSG00000242125,ENSG00000138741,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,TRPC3,SNHG3,SNHG3,TRPC3
HEIH,HDGF,ENSG00000278970,ENSG00000143321,Cancer,Oral cavity cancer,positively-E,upregulation,lncRNA,PCG,HDGF,HEIH,HEIH,HDGF
KCNQ1OT1,YY1AP1,ENSG00000269821,ENSG00000163374,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,YY1AP1,KCNQ1OT1,KCNQ1OT1,YY1AP1
HOXA-AS2,NOTCH1,ENSG00000253552,ENSG00000148400,Respiratory system disease,Lung disease,positively-E,downregulation,lncRNA,PCG,NOTCH1,HOXA-AS2,HOXA-AS2,NOTCH1
DLEU1,RANBP2,ENSG00000176124,ENSG00000153201,Cancer,Kidney cancer,positively-E,upregulation,lncRNA,PCG,RANBP2,DLEU1,DLEU1,RANBP2
DLEU1,miR-513a-5p,ENSG00000176124,,Cancer,Kidney cancer,positively-E,upregulation,lncRNA,miRNA,miR-513a-5p,DLEU1,DLEU1,miR-513a-5p
miR-103a,NEAT1,ENSG00000199024,ENSG00000245532,Cancer,Gastric cancer,negatively-E,upregulation,miRNA,lncRNA,NEAT1,miR-103a,miR-103a,NEAT1
SNHG4,RUNX2,ENSG00000281398,ENSG00000124813,Cancer,Kidney cancer,positively-E,upregulation,lncRNA,TF,RUNX2,SNHG4,SNHG4,RUNX2
MIAT,CASP1,ENSG00000225783,ENSG00000137752,Nervous system disease,Diabetic retinopathy,positively-E,upregulation,lncRNA,PCG,CASP1,MIAT,MIAT,CASP1
NEAT1,MDM2,ENSG00000245532,ENSG00000135679,Musculoskeletal system disease,Bone disease,positively-E,upregulation,lncRNA,PCG,MDM2,NEAT1,NEAT1,MDM2
TUG1,miR-26a,ENSG00000253352,ENSG00000207789,Other,Lumbar disc herniation,negatively-E,upregulation,lncRNA,miRNA,miR-26a,TUG1,TUG1,miR-26a
TPT1-AS1,miR-671-5p,ENSG00000170919,ENSG00000284191,Cancer,Melanoma,negatively-E,upregulation,lncRNA,miRNA,miR-671-5p,TPT1-AS1,TPT1-AS1,miR-671-5p
NEAT1,PLA2G4A,ENSG00000245532,ENSG00000116711,Musculoskeletal system disease,Bone disease,positively-E,upregulation,lncRNA,PCG,PLA2G4A,NEAT1,NEAT1,PLA2G4A
MALAT1,STAT3,ENSG00000251562,ENSG00000168610,Cardiovascular system disease,Atherosclerosis,positively-E,upregulation,lncRNA,TF,STAT3,MALAT1,MALAT1,STAT3
LINC00858,RABL3,ENSG00000229404,ENSG00000144840,Cancer,Liver cancer,negatively-E,upregulation,lncRNA,PCG,RABL3,LINC00858,LINC00858,RABL3
LINC00673,CDKN2C,ENSG00000227036,ENSG00000123080,Cancer,Esophageal cancer,negatively-E,upregulation,lncRNA,PCG,CDKN2C,LINC00673,LINC00673,CDKN2C
MKLN1<U+2011>AS,HDGF,,ENSG00000143321,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,HDGF,MKLN1<U+2011>AS,MKLN1<U+2011>AS,HDGF
HAGLR,FGF2,ENSG00000224189,ENSG00000138685,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,FGF2,HAGLR,HAGLR,FGF2
AFAP1-AS1,E2F3,ENSG00000272620,ENSG00000112242,Gastrointestinal system disease,Hirschsprung's disease,positively-E,downregulation,lncRNA,TF,E2F3,AFAP1-AS1,AFAP1-AS1,E2F3
PVT1,SLC2A1,ENSG00000249859,ENSG00000117394,Cancer,Oral cavity cancer,positively-E,upregulation,lncRNA,PCG,SLC2A1,PVT1,PVT1,SLC2A1
SNHG16,BCL2,ENSG00000163597,ENSG00000171791,Cardiovascular system disease,Cerebrovascular disease,positively-E,upregulation,lncRNA,PCG,BCL2,SNHG16,SNHG16,BCL2
ZFPM2-AS1,MIF,ENSG00000251003,ENSG00000240972,Cancer,Gastric cancer,positively-F,upregulation,lncRNA,PCG,MIF,ZFPM2-AS1,ZFPM2-AS1,MIF
HAGLR,ZEB1,ENSG00000224189,ENSG00000148516,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,TF,ZEB1,HAGLR,HAGLR,ZEB1
TDRG1,VEGFA,ENSG00000204091,ENSG00000112715,Cancer,Endometrial cancer,positively-E,upregulation,lncRNA,PCG,VEGFA,TDRG1,TDRG1,VEGFA
LIFR-AS1,TNFAIP3,ENSG00000244968,ENSG00000118503,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,TNFAIP3,LIFR-AS1,LIFR-AS1,TNFAIP3
LINC00339,FOXM1,ENSG00000218510,ENSG00000111206,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,FOXM1,LINC00339,LINC00339,FOXM1
NNT-AS1,miR-129-5p,ENSG00000248092,,Cancer,Lung cancer,negatively-F,upregulation,lncRNA,miRNA,miR-129-5p,NNT-AS1,NNT-AS1,miR-129-5p
CBR3-AS1,TGFB1,ENSG00000236830,ENSG00000105329,Cancer,Breast cancer,positively-E,downregulation,lncRNA,PCG,TGFB1,CBR3-AS1,CBR3-AS1,TGFB1
FUNDC2P4,CDH1,ENSG00000227009,ENSG00000039068,Cancer,Liver cancer,positively-E,downregulation,lncRNA,PCG,CDH1,FUNDC2P4,FUNDC2P4,CDH1
SNHG12,ELAVL1,ENSG00000197989,ENSG00000066044,Cancer,Brain glioma,interact,upregulation,lncRNA,PCG,ELAVL1,SNHG12,SNHG12,ELAVL1
LNCRNA-ATB,YAP1,,ENSG00000137693,Cancer,Melanoma,positively-E,upregulation,lncRNA,PCG,YAP1,LNCRNA-ATB,LNCRNA-ATB,YAP1
FOXO1,GAPLINC,ENSG00000150907,ENSG00000266835,Cancer,Lung cancer,negatively-E,upregulation,TF,lncRNA,GAPLINC,FOXO1,FOXO1,GAPLINC
PCSEAT,EZH2,ENSG00000286027,ENSG00000106462,Cancer,Prostate cancer,positively-E,upregulation,lncRNA,PCG,EZH2,PCSEAT,PCSEAT,EZH2
PVT1,ULK1,ENSG00000249859,ENSG00000177169,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,PCG,ULK1,PVT1,PVT1,ULK1
CCAT1,miR-33a,ENSG00000247844,ENSG00000207932,Cancer,Melanoma,negatively-F,upregulation,lncRNA,miRNA,miR-33a,CCAT1,CCAT1,miR-33a
CCAT1,BIRC7,ENSG00000247844,ENSG00000101197,Cancer,Kidney cancer,positively-F,upregulation,lncRNA,PCG,BIRC7,CCAT1,CCAT1,BIRC7
CCAT1,BCL2L1,ENSG00000247844,ENSG00000171552,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,BCL2L1,CCAT1,CCAT1,BCL2L1
EGFR-AS1,miR-223,ENSG00000224057,ENSG00000284567,Cancer,Lung cancer,negatively-F,upregulation,lncRNA,miRNA,miR-223,EGFR-AS1,EGFR-AS1,miR-223
MNX1-AS1,MAPK3,ENSG00000243479,ENSG00000102882,Cancer,Cervical cancer,positively-F,upregulation,lncRNA,PCG,MAPK3,MNX1-AS1,MNX1-AS1,MAPK3
MNX1-AS1,MAPK1,ENSG00000243479,ENSG00000100030,Cancer,Cervical cancer,positively-F,upregulation,lncRNA,PCG,MAPK1,MNX1-AS1,MNX1-AS1,MAPK1
MNX1-AS1,MAPK8,ENSG00000243479,ENSG00000107643,Cancer,Cervical cancer,positively-F,upregulation,lncRNA,PCG,MAPK8,MNX1-AS1,MNX1-AS1,MAPK8
UCA1,CTNNB1,ENSG00000214049,ENSG00000168036,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,CTNNB1,UCA1,UCA1,CTNNB1
NBAT1,SOX7,ENSG00000260455,ENSG00000171056,Cancer,Brain glioma,positively-E,downregulation,lncRNA,TF,SOX7,NBAT1,NBAT1,SOX7
LINC00665,ATF1,ENSG00000232677,ENSG00000123268,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,TF,ATF1,LINC00665,LINC00665,ATF1
FKBP9P1,PIK3CA,ENSG00000176826,ENSG00000121879,Cancer,Head and neck cancer,positively-E,upregulation,lncRNA,PCG,PIK3CA,FKBP9P1,FKBP9P1,PIK3CA
FKBP9P1,AKT1,ENSG00000176826,ENSG00000142208,Cancer,Head and neck cancer,positively-E,upregulation,lncRNA,PCG,AKT1,FKBP9P1,FKBP9P1,AKT1
DUXAP8,YAP1,ENSG00000271672,ENSG00000137693,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,YAP1,DUXAP8,DUXAP8,YAP1
ADIPOQ,TP53,ENSG00000181092,ENSG00000141510,Cancer,Colorectal cancer,positively-E,downregulation,lncRNA,TF,TP53,ADIPOQ,ADIPOQ,TP53
MALAT1,MIR202,ENSG00000251562,ENSG00000284219,Cancer,Bone sarcoma,positively-F,upregulation,lncRNA,miRNA,MIR202,MALAT1,MALAT1,MIR202
RBAT1,E2F3,ENSG00000224707,ENSG00000112242,Cancer,Retinoblastoma,positively-E,upregulation,lncRNA,TF,E2F3,RBAT1,RBAT1,E2F3
RBAT1,E2F3,ENSG00000224707,ENSG00000112242,Cancer,Urinary bladder cancer,positively-E,upregulation,lncRNA,TF,E2F3,RBAT1,RBAT1,E2F3
DRAIC,NFIB,ENSG00000245750,ENSG00000147862,Cancer,Esophageal cancer,positively-E,upregulation,lncRNA,TF,NFIB,DRAIC,DRAIC,NFIB
LOXL1-AS1,HMGA2,ENSG00000261801,ENSG00000149948,Musculoskeletal system disease,Bone disease,positively-E,upregulation,lncRNA,TF,HMGA2,LOXL1-AS1,LOXL1-AS1,HMGA2
LINC00261,miR-23a-3p,ENSG00000259974,ENSG00000207980,Cancer,Pancreatic cancer,negatively-E,downregulation,lncRNA,miRNA,miR-23a-3p,LINC00261,LINC00261,miR-23a-3p
FOXD2-AS1,MAP3K1,ENSG00000237424,ENSG00000095015,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,MAP3K1,FOXD2-AS1,FOXD2-AS1,MAP3K1
CYTOR,YAP1,ENSG00000222041,ENSG00000137693,Cancer,Retinoblastoma,positively-E,upregulation,lncRNA,PCG,YAP1,CYTOR,CYTOR,YAP1
DGCR5,WNT3A,ENSG00000237517,ENSG00000154342,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,WNT3A,DGCR5,DGCR5,WNT3A
DGCR5,CTNNB1,ENSG00000237517,ENSG00000168036,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,CTNNB1,DGCR5,DGCR5,CTNNB1
DGCR5,MYC,ENSG00000237517,ENSG00000136997,Cancer,Breast cancer,positively-E,upregulation,lncRNA,TF,MYC,DGCR5,DGCR5,MYC
DGCR5,BIRC5,ENSG00000237517,ENSG00000089685,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,BIRC5,DGCR5,DGCR5,BIRC5
SNHG16,CCND1,ENSG00000163597,ENSG00000110092,Urinary system disease,Kidney disease,positively-E,upregulation,lncRNA,PCG,CCND1,SNHG16,SNHG16,CCND1
MIAT,PAPPA,ENSG00000225783,ENSG00000182752,Cardiovascular system disease,Atherosclerosis,positively-E,upregulation,lncRNA,PCG,PAPPA,MIAT,MIAT,PAPPA
PVT1,MYC,ENSG00000249859,ENSG00000136997,Reproductive system disease,Primary ovarian insufficiency,positively-E,upregulation,lncRNA,TF,MYC,PVT1,PVT1,MYC
LINC00665,E2F3,ENSG00000232677,ENSG00000112242,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,E2F3,LINC00665,LINC00665,E2F3
LOC646616,WNT3,ENSG00000249142,ENSG00000108379,Cardiovascular system disease,Hypertension,positively-E,upregulation,lncRNA,PCG,WNT3,LOC646616,LOC646616,WNT3
LOC646616,CAMK2N2,ENSG00000249142,ENSG00000163888,Cardiovascular system disease,Hypertension,positively-E,upregulation,lncRNA,PCG,CAMK2N2,LOC646616,LOC646616,CAMK2N2
TRIM52-AS1,MRPS18A,ENSG00000248275,ENSG00000096080,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,MRPS18A,TRIM52-AS1,TRIM52-AS1,MRPS18A
TBX5-AS1:2,TBX5,,ENSG00000089225,Cardiovascular system disease,Congenital heart disease,positively-E,downregulation,lncRNA,TF,TBX5,TBX5-AS1:2,TBX5-AS1:2,TBX5
SMILR,KLF5,ENSG00000255364,ENSG00000102554,Cardiovascular system disease,Atherosclerosis,positively-E,upregulation,lncRNA,TF,KLF5,SMILR,SMILR,KLF5
TERF1,TERRA,ENSG00000147601,ENSG00000270141,Cancer,Liver cancer,positively-E,downregulation,TF,lncRNA,TERC,TERF1,TERF1,TERRA
TRF2,TERRA,ENSG00000132604,ENSG00000270141,Cancer,Liver cancer,negatively-E,downregulation,PCG,lncRNA,TERC,TRF2,TRF2,TERRA
H19,PIK3R3,ENSG00000130600,ENSG00000117461,Nervous system disease,Parkinson's disease,positively-E,downregulation,lncRNA,PCG,PIK3R3,H19,H19,PIK3R3
GAS5,PTEN,ENSG00000234741,ENSG00000171862,Cardiovascular system disease,Vascular calcification,positively-E,downregulation,lncRNA,PCG,PTEN,GAS5,GAS5,PTEN
LINC00312,YBX1,ENSG00000237697,ENSG00000065978,Gastrointestinal system disease,Mouth disease,positively-E,upregulation,lncRNA,TF,YBX1,LINC00312,LINC00312,YBX1
HOTAIR,miR-106,ENSG00000228630,ENSG00000284157,Cardiovascular system disease,Eclampsia,negatively-E,upregulation,lncRNA,miRNA,miR-106,HOTAIR,HOTAIR,miR-106
EZH2,miR-106,ENSG00000106462,ENSG00000284157,Cardiovascular system disease,Eclampsia,negatively-E,upregulation,PCG,miRNA,miR-106,EZH2,EZH2,miR-106
SNHG4,PTEN,ENSG00000281398,ENSG00000171862,Cancer,Endometrial cancer,positively-E,downregulation,lncRNA,PCG,PTEN,SNHG4,SNHG4,PTEN
XIST,PTEN,ENSG00000229807,ENSG00000171862,Cardiovascular system disease,Aortic disease,positively-E,upregulation,lncRNA,PCG,PTEN,XIST,XIST,PTEN
lncZBTB39,THSD7A,ENSG00000166863,ENSG00000005108,Cardiovascular system disease,Eclampsia,positively-E,upregulation,lncRNA,PCG,THSD7A,lncZBTB39,lncZBTB39,THSD7A
GAS5,miR-21,ENSG00000234741,ENSG00000199004,Cardiovascular system disease,Eclampsia,negatively-E,upregulation,lncRNA,miRNA,miR-21,GAS5,GAS5,miR-21
GAS5,MMP9,ENSG00000234741,ENSG00000100985,Cardiovascular system disease,Eclampsia,negatively-E,upregulation,lncRNA,PCG,MMP9,GAS5,GAS5,MMP9
GAS5,TP53,ENSG00000234741,ENSG00000141510,Cardiovascular system disease,Eclampsia,negatively-E,upregulation,lncRNA,TF,TP53,GAS5,GAS5,TP53
LBX2-AS1,IRS1,ENSG00000257702,ENSG00000169047,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,IRS1,LBX2-AS1,LBX2-AS1,IRS1
MIR155HG,BRD4,ENSG00000234883,ENSG00000141867,Respiratory system disease,Lung disease,positively-E,upregulation,lncRNA,PCG,BRD4,MIR155HG,MIR155HG,BRD4
XIC,hsa-miR21-5p,,,Genetic disease,Hyperglycemia,negatively-F,downregulation,lncRNA,miRNA,hsa-miR21-5p,XIC,XIC,hsa-miR21-5p
TCONS_00016233,AIFM1,,ENSG00000156709,Other,Injury,positively-E,upregulation,lncRNA,PCG,AIFM1,TCONS_00016233,TCONS_00016233,AIFM1
TCONS_00016233,IL-1¦Â,,ENSG00000125538,Other,Injury,positively-E,upregulation,lncRNA,PCG,IL1B,TCONS_00016233,TCONS_00016233,IL-1¦Â
TCONS_00016233,TNF,,ENSG00000228978,Other,Injury,positively-E,upregulation,lncRNA,PCG,TNF,TCONS_00016233,TCONS_00016233,TNF
AL049437,MAPK1,ENSG00000290518,ENSG00000100030,Nervous system disease,Parkinson's disease,positively-E,upregulation,lncRNA,PCG,MAPK1,AL049437,AL049437,MAPK1
GPNCA,GSK3B,ENSG00000242622,ENSG00000082701,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,GSK3B,GPNCA,GPNCA,GSK3B
GPNCA,GSK3B,ENSG00000242622,ENSG00000082701,Cancer,Kidney cancer,positively-E,upregulation,lncRNA,PCG,GSK3B,GPNCA,GPNCA,GSK3B
CISAL,BRCA1,ENSG00000244041,ENSG00000012048,Cancer,Oral cavity cancer,negatively-E,downregulation,lncRNA,PCG,BRCA1,CISAL,CISAL,BRCA1
CISAL,GABPA,ENSG00000244041,ENSG00000154727,Cancer,Oral cavity cancer,negatively-F,downregulation,lncRNA,TF,GABPA,CISAL,CISAL,GABPA
UCA1,miR-185-5p,ENSG00000214049,ENSG00000208023,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,miRNA,miR-185-5p,UCA1,UCA1,miR-185-5p
XIST,IL12A,ENSG00000229807,ENSG00000168811,Other,Primary graft dysfunction,positively-E,upregulation,lncRNA,PCG,IL12A,XIST,XIST,IL12A
FTX,FMR1,ENSG00000230590,ENSG00000102081,Other,Injury,positively-E,downregulation,lncRNA,PCG,FMR1,FTX,FTX,FMR1
LUCAT1,HOXA13,ENSG00000248323,ENSG00000106031,Cardiovascular system disease,Heart failure,positively-E,downregulation,lncRNA,TF,HOXA13,LUCAT1,LUCAT1,HOXA13
SPAG5-AS1,YY1,ENSG00000227543,ENSG00000100811,Urinary system disease,Kidney disease,positively-E,upregulation,lncRNA,TF,YY1,SPAG5-AS1,SPAG5-AS1,YY1
SPAG5-AS1,SPAG5,ENSG00000227543,ENSG00000076382,Urinary system disease,Kidney disease,positively-E,upregulation,lncRNA,PCG,SPAG5,SPAG5-AS1,SPAG5-AS1,SPAG5
VPS9D1-AS1,HMGA2,ENSG00000261373,ENSG00000149948,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,HMGA2,VPS9D1-AS1,VPS9D1-AS1,HMGA2
MEG3,miR-146a,ENSG00000214548,ENSG00000253522,Musculoskeletal system disease,Spinal disease,negatively-F,downregulation,lncRNA,miRNA,miR-146a,MEG3,MEG3,miR-146a
GAS5,BCL2,ENSG00000234741,ENSG00000171791,Musculoskeletal system disease,Bone disease,positively-E,upregulation,lncRNA,PCG,BCL2,GAS5,GAS5,BCL2
TMEM238L,GFI1,ENSG00000263429,ENSG00000162676,Cancer,Liver cancer,positively-E,downregulation,lncRNA,TF,GFI1,TMEM238L,TMEM238L,GFI1
GFI1,TMEM238L,ENSG00000162676,ENSG00000263429,Cancer,Liver cancer,positively-E,downregulation,TF,lncRNA,TMEM238L,GFI1,GFI1,TMEM238L
PCAT1,BAX,ENSG00000253438,ENSG00000087088,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,PCG,BAX,PCAT1,PCAT1,BAX
PCAT1,BCL2,ENSG00000253438,ENSG00000171791,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,PCG,BCL2,PCAT1,PCAT1,BCL2
MEG3,TP53,ENSG00000214548,ENSG00000141510,Cancer,Liver cancer,positively-E,downregulation,lncRNA,TF,TP53,MEG3,MEG3,TP53
MEG3,TERT,ENSG00000214548,ENSG00000164362,Cancer,Liver cancer,negatively-E,downregulation,lncRNA,PCG,TERT,MEG3,MEG3,TERT
MEG3,TERRA,ENSG00000214548,ENSG00000270141,Cancer,Liver cancer,positively-E,downregulation,lncRNA,PCG,TERC,MEG3,MEG3,TERRA
TUG1,BDNF,ENSG00000253352,ENSG00000176697,Disease of mental health,Cognitive disorder,negatively-E,upregulation,lncRNA,PCG,BDNF,TUG1,TUG1,BDNF
LINC00525,miR-338-3p,ENSG00000146666,ENSG00000283604,Cancer,Brain glioma,negatively-F,upregulation,lncRNA,miRNA,miR-338-3p,LINC00525,LINC00525,miR-338-3p
TUSC7,GATA3,ENSG00000243197,ENSG00000107485,Integumentary system disease,Skin disease,positively-E,downregulation,lncRNA,TF,GATA3,TUSC7,TUSC7,GATA3
CRNDE,SMAD3,ENSG00000245694,ENSG00000166949,Cancer,Aortic aneurysm,positively-E,downregulation,lncRNA,TF,SMAD3,CRNDE,CRNDE,SMAD3
FAS-AS1,FAS,,ENSG00000026103,Cancer,Leukemia,positively-E,downregulation,lncRNA,PCG,FAS,FAS-AS1,FAS-AS1,FAS
FAS-AS1,DNMT3B,,ENSG00000088305,Cancer,Leukemia,negatively-E,downregulation,lncRNA,PCG,DNMT3B,FAS-AS1,FAS-AS1,DNMT3B
FAS-AS1,SIRT1,,ENSG00000096717,Cancer,Leukemia,negatively-E,downregulation,lncRNA,PCG,SIRT1,FAS-AS1,FAS-AS1,SIRT1
NKILA,miR-21,ENSG00000278709,ENSG00000199004,Respiratory system disease,Lung disease,positively-E,downregulation,lncRNA,miRNA,miR-21,NKILA,NKILA,miR-21
MEG3,AKAP12,ENSG00000214548,ENSG00000131016,Cancer,Meningioma,positively-E,downregulation,lncRNA,PCG,AKAP12,MEG3,MEG3,AKAP12
IUR,TP53,ENSG00000245552,ENSG00000141510,Cancer,Larynx cancer,positively-E,downregulation,lncRNA,TF,TP53,IUR,IUR,TP53
CASC2,SOCS2,ENSG00000177640,ENSG00000120833,Urinary system disease,Kidney disease,positively-E,downregulation,lncRNA,PCG,SOCS2,CASC2,CASC2,SOCS2
FERRE,EZH2,,ENSG00000106462,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,EZH2,FERRE,FERRE,EZH2
LINC02381,miR-21,ENSG00000250742,ENSG00000199004,Cancer,Gastric cancer,negatively-F,downregulation,lncRNA,miRNA,miR-21,LINC02381,LINC02381,miR-21
LINC02381,MIR590,ENSG00000250742,ENSG00000207741,Cancer,Gastric cancer,negatively-F,downregulation,lncRNA,miRNA,MIR590,LINC02381,LINC02381,MIR590
LINC02381,miR-27a,ENSG00000250742,ENSG00000207808,Cancer,Gastric cancer,negatively-F,downregulation,lncRNA,miRNA,miR-27a,LINC02381,LINC02381,miR-27a
LINC02381,MYC,ENSG00000250742,ENSG00000136997,Cancer,Gastric cancer,negatively-E,downregulation,lncRNA,TF,MYC,LINC02381,LINC02381,MYC
LINC02381,CCND1,ENSG00000250742,ENSG00000110092,Cancer,Gastric cancer,negatively-E,downregulation,lncRNA,PCG,CCND1,LINC02381,LINC02381,CCND1
PVT1,HMGB1,ENSG00000249859,ENSG00000189403,Musculoskeletal system disease,Bone disease,positively-E,upregulation,lncRNA,TF,HMGB1,PVT1,PVT1,HMGB1
LINC00472,YBX1,ENSG00000233237,ENSG00000065978,Cancer,Lung cancer,negatively-F,downregulation,lncRNA,TF,YBX1,LINC00472,LINC00472,YBX1
ARFRP1,TLR4,ENSG00000101246,ENSG00000136869,Musculoskeletal system disease,Bone disease,positively-E,upregulation,lncRNA,PCG,TLR4,ARFRP1,ARFRP1,TLR4
TTN-AS1,PAK3,ENSG00000237298,ENSG00000077264,Cancer,Intestinal cancer,positively-E,upregulation,lncRNA,PCG,PAK3,TTN-AS1,TTN-AS1,PAK3
TTN-AS1,CDKN1A,ENSG00000237298,ENSG00000124762,Cancer,Intestinal cancer,positively-E,upregulation,lncRNA,PCG,CDKN1A,TTN-AS1,TTN-AS1,CDKN1A
OIP5-AS1,MYC,ENSG00000247556,ENSG00000136997,Nervous system disease,Diabetic retinopathy,positively-E,downregulation,lncRNA,TF,MYC,OIP5-AS1,OIP5-AS1,MYC
